tool,frame,gt_yaw,flip_trap,n_pts,err_raw,err_pose,err_smooth,signed_raw,signed_smooth
screwdriver_cyl,14,7.0,0,866,0.0489,1.5836,0.0489,179.95,179.95
screwdriver_cyl,15,7.5,0,866,0.0923,1.5996,0.0923,179.91,179.91
screwdriver_cyl,16,8.0,0,866,0.0439,1.6105,0.0439,179.96,179.96
screwdriver_cyl,17,8.5,0,866,0.0329,1.6018,0.0329,179.97,179.97
screwdriver_cyl,18,9.0,0,866,0.0343,1.5966,0.0343,179.97,179.97
screwdriver_cyl,19,9.5,0,866,0.1072,1.5933,0.1072,179.89,179.89
screwdriver_cyl,20,10.0,0,866,0.0303,1.5639,0.0303,179.97,179.97
screwdriver_cyl,21,10.5,0,866,0.0835,1.5659,0.0835,179.92,179.92
screwdriver_cyl,22,11.0,0,866,0.0555,1.5565,0.0555,179.94,179.94
screwdriver_cyl,23,11.5,0,866,0.0325,1.5503,0.0325,179.97,179.97
screwdriver_cyl,24,12.0,0,866,0.0401,1.5471,0.0401,179.96,179.96
screwdriver_cyl,25,12.5,0,866,0.0793,1.5549,0.0793,179.92,179.92
screwdriver_cyl,26,13.0,0,866,0.1138,1.5647,0.1138,179.89,179.89
screwdriver_cyl,27,13.5,0,866,0.1254,1.5779,0.1254,179.87,179.87
screwdriver_cyl,28,14.0,0,866,0.0833,1.572,0.0833,179.92,179.92
screwdriver_cyl,29,14.5,0,866,0.0821,1.567,0.0821,179.92,179.92
screwdriver_cyl,30,15.0,0,866,0.0554,1.5579,0.0554,179.94,179.94
screwdriver_cyl,31,15.5,0,866,0.0114,1.5465,0.0114,179.99,179.99
screwdriver_cyl,32,16.0,0,866,0.0837,1.5665,0.0837,179.92,179.92
screwdriver_cyl,33,16.5,0,866,0.0497,1.5703,0.0497,179.95,179.95
screwdriver_cyl,34,17.0,0,866,0.1478,1.6135,0.1478,179.85,179.85
screwdriver_cyl,35,17.5,0,866,0.0701,1.6296,0.0701,179.93,179.93
screwdriver_cyl,36,18.0,0,866,0.0485,1.6309,0.0485,179.95,179.95
screwdriver_cyl,37,18.5,0,866,0.0538,1.6246,0.0538,179.95,179.95
screwdriver_cyl,38,19.0,0,866,0.0551,1.5975,0.0551,179.94,179.94
screwdriver_cyl,39,19.5,0,866,0.038,1.5694,0.038,179.96,179.96
screwdriver_cyl,40,20.0,0,866,0.0865,1.5795,0.0865,179.91,179.91
screwdriver_cyl,41,20.5,0,866,0.0824,1.5718,0.0824,179.92,179.92
screwdriver_cyl,42,21.0,0,866,0.0549,1.5558,0.0549,179.95,179.95
screwdriver_cyl,43,21.5,0,866,0.0809,1.5631,0.0809,179.92,179.92
screwdriver_cyl,44,22.0,0,866,0.0632,1.5598,0.0632,179.94,179.94
screwdriver_cyl,45,22.5,0,866,0.097,1.5694,0.097,179.9,179.9
screwdriver_cyl,46,23.0,0,866,0.0271,1.5642,0.0271,179.97,179.97
