tool_id,name,method,frame,frame_ms,n_points,d_axis0_deg,d_axis1_deg,d_axis2_deg,jitter_max_deg,flip,stable,power_iter
T01,long_nose_pliers,raw,194,0.0935,1802,0.1029,1.863,1.8642,1.8642,0,1,0
T01,long_nose_pliers,raw,195,0.08821,1800,0.0547,1.7709,1.7716,1.7716,0,1,0
T01,long_nose_pliers,raw,196,0.08533,1800,0.027,0.0752,0.0702,0.0752,0,1,0
T01,long_nose_pliers,raw,197,0.08287,1804,0.0769,167.3716,167.3714,167.3716,1,1,0
T01,long_nose_pliers,raw,198,0.09329,1800,0.1247,167.3463,167.3463,167.3463,1,1,0
T01,long_nose_pliers,raw,199,0.08658,1800,0.0528,0.0585,0.0441,0.0585,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,0,2.552,1802,0.0,0.0,0.0,0.0,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,1,2.58258,1800,0.1576,0.1339,0.1864,0.1864,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,2,2.53254,1800,0.2082,0.8607,0.8828,0.8828,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,3,2.54446,1800,0.3,0.4068,0.5042,0.5042,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,4,2.56254,1805,0.1882,0.7625,0.7848,0.7848,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,5,2.69171,1801,0.2354,1.0571,1.0828,1.0828,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,6,2.76421,1800,0.1472,0.8951,0.9067,0.9067,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,7,2.60338,1800,0.0987,0.3865,0.3988,0.3988,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,8,2.54375,1804,0.1714,0.4806,0.5098,0.5098,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,9,2.53667,1800,0.1182,0.7081,0.7175,0.7175,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,10,2.56942,1804,0.0956,0.7691,0.7682,0.7691,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,11,2.59688,1804,0.1403,0.8315,0.8425,0.8425,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,12,2.56212,1803,0.2013,0.2292,0.305,0.305,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,13,2.53875,1800,0.1344,0.5385,0.555,0.555,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,14,2.61475,1800,0.0251,1.0076,1.0079,1.0079,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,15,2.54942,1800,0.0575,0.4157,0.4192,0.4192,0,1,0
